product_name,product_price,installment_price,free_shipment
 Batman Detective Comic Vol.1000 Franceso Televisa 2019 ,130.0,12.84,False
 The Amazing Spider-man Civil War Marvel Best Sellers ,300.0,29.64,False
 Batman Rebirth Vol.13 El Boton 3 Dc Comic´s Televisa 2018 ,88.0,,False
 Dk3 Vol.9 Variante Jim Lee Dc Comic´s Televisa 2018 ,134.0,13.24,False
 Comic Watchmen # 2 Alan Moore Español Carton Bolsita Gratis ,69.0,,False
 Comic Spawn 248 / 249 Numero Doble Final De Saga Español ,99.0,,False
 Batman White Knight Vol.6 Variante Dc Semanal Televisa 2018 ,117.0,11.56,False
" Comic Spawn # 246, 247 Editorial Kamite Sellado ",79.0,,False
 Comic Dc Universe Rebirth Aquaman # 12 Corona En Atlantida ,59.0,,False
 Amazing Spider-man Vol.797 Y 798 Variante 1 Televisa 2019 ,81.0,,False
 Comic Dc Universe Flash # 25 Guerra De Flash ,65.0,,False
 Reloj Deadpool Tipo Bolsillo De Colección Con Cadena ,189.0,,False
 Termo Para Café Homero Simpson Estilo Starbucks ,385.0,32.08,True
 Sandman Neil Gaiman Obra Completa 14 Tomos Deluxe Televisa ,7499.0,624.92,True
 Comic The Flash No.53 (ingles) Dc Universe ,89.0,,False
 [español] Batman Knightfall Trilogia La Caida Del Murcielago ,970.0,95.83,True
 Marvel Movie Collection Fasiculo # 20 Iron Patriot Sellado! ,498.0,49.2,False
" Comic Amazing Spider-man #1 (december 2015,) Cerificado Aute ",899.0,,True
 Comic Dc Universe Rebirth Wonder Woman # 12 La Verdad ,55.0,,False
 Comic Dc Universe Batman 20 Enfrentando A La Hija Del Demoni ,59.0,,False
 Peter Parker Spider-man Vol.302 Marvel Televisa 2018 ,77.0,,False
 Superman Action Comics No.1004 (ingles) Dc Universe ,90.0,,False
 Amazing Spider-man Vol.791 Marvel Televisa 2018 ,77.0,,False
 Virtual Hero 2 - Ruben Doblas El Rubius / Suma De Letras ,229.0,,True
 Green Lantern Corps Rebirth Vol.12 Dc Comic Televisa 2018 ,77.0,,False
 Batman Detective Comic Rebirth Vol.18 Dc Comic Televisa 2018 ,77.0,,False
 Peter Parker Spider-man Vol.301 Marvel Televisa 2018 ,77.0,,False
 Batman Vol.20 Dc Comic´s Televisa 2019 ,77.0,,False
 Wonder Woman Rebirth Vol.12 Dc Comic´s Televisa 2018 ,77.0,,False
 All Star Batman Rebirth Vol.12 Dc Comic´s Televisa 2018 ,77.0,,False
 Comic Panini Star Light ,45.0,,True
 Superman Vol.20 Dc Comic´s Televisa 2019 ,77.0,,False
 Amazing Spider-man Pecados Del Pasado Marvel Best Sellers ,240.0,23.71,False
 Ant-man Vol.4 Marvel Semanal Televisa 2018 ,53.0,,False
 Batman Detective Comics # 1000 - Portada De Francesco Matina ,240.0,23.71,True
 Mini Daga De Puño ,175.0,17.29,True
 Comic Batman New 52 # 28 Carton Y Bolsa Gratis Español ,45.0,,False
 Comic Dc Definitive Edition Injustice 2 Volumen 3 Español ,249.0,20.75,False
 Comic Marvel Spider-man Sentados En Un Arbol Volumen 3 ,189.0,15.75,False
 Comic Marvel Basicos Spider Gwen Ghost Spider Spider-geddon ,199.0,16.58,False
 Comic Deadpool: Que Llueva El Varo A Plomazos Sellado ,189.0,15.75,False
 Batman Liga De Coleccionistas ,155.0,15.31,True
 Comic The Amazing Spiderman No.12 Variante Campbell Marvel ,200.0,19.76,False
 Dc Essential Edition Justice League: La Guerra De Darkseid ,455.0,44.95,False
 Dark Horse Comics The Umbrella Academy Español Nuevo Sellado ,280.0,27.66,False
 Enciclopedia Marvel Atrasados Nuevos ,299.0,29.54,False
 Comic Universo Dc Batman: El Ala Tirana Sellado Español ,169.0,14.08,False
 Flashpoint Showcase Historia Completa En Español Televisa ,270.0,26.67,False
 Aventuras De Capulina Cómic $120 Cada Uno ,120.0,11.85,False
 Primeras Tres Aparaciones Spiderman ,1000.0,98.79,True
 V For Vendetta 30 Aniversario Vertigo Deluxe Pasta Dura ,720.0,71.13,True
 Aviones De Combate Salvat F-4f Phantom Il No 04 ,749.0,73.99,True
 Sandman 10 Primeros Tomos Colección Completa ,5900.0,491.67,False
 The Witcher Vol. 2: Hijas De La Zorra Dark Horse Comic ,210.0,20.75,False
 [español] Action Comics ¿qué Sucedió Al Hombre Del Mañana? 2 ,69.0,,False
 Invader Zim 1 A 16 Nuevos Español Envío Gratis ,720.0,71.13,True
 Batman Who Laughs Vol.6 Dc Comic´s Televisa 2019 ,109.0,10.77,False
 Spiderman 1 Portada Regular Mcfarlane (marvel 1990) ,225.0,22.23,False
 Coraline ... Novela Gráfica Neil Gaiman / P Craig Rusell ,359.0,35.47,True
 Injustice Gods Among Us Año 5 Dc Deluxe Pasta Dura ,730.0,72.12,True
 Batman Rebirth Vol.3 Dc Comic´s Televisa 2017 ,77.0,,False
 Calcomania Trasparente Delgasa Para Decoracion En Minisplit ,160.0,15.81,False
 Panini Superheroes Dc Cómics Una Revista Y Figura Colección ,549.0,54.24,True
 Comics Rick And Morty Nuevos Español Precio Por C/u ,55.0,,False
 Libro: El Gran Gatsby Autor: Scott Fitzgerald ,157.0,,True
 Hellboy Volumen 8: La Oscuridad Llama ,215.0,21.24,False
 Comic Bartman # 2 Nuevo Y Sellado Comics Bongo ,49.0,,False
 Caja De Micas Bcw Para Tazos Sellada 20 Espacios Cuadrados ,699.0,69.06,True
 La Guarida Del Horror Marvel Deluxe Pasta Dura ,650.0,64.21,True
 Lote 21 Cómics Variados Marvel Y Dc Por 450 Con Envío Gratis ,450.0,37.5,True
 Karmatron Y Los Transformables Lote 10 Comics Nueva Epoca -4 ,500.0,,True
 Guantelete Del Infinito Marvel Deluxe Pasta Dura ,650.0,64.21,True
 Dark Nights Metal Resistance Portada 1 Dc Deluxe Pasta Dura ,640.0,63.23,True
 Clasicos Ilustrados Infantiles 1a Edicion La Prensa '55-56 ,150.0,14.82,False
 Dc Comics Deluxe The World's Greatest Super Heroes Alex Ros ,499.0,41.58,True
 Primeras Tres Apariciones De Irón Man Marvel ,650.0,64.21,True
 Libro: Orgullo Y Prejuicio Autor: Jane Austen ,157.0,,True
" X-men The Age Of Apocalypse Vol.1, 2 Y 3 Marvel Omnibus ",2000.0,197.58,True
 Scott Pilgrim Tapa Blanda Varios Números Kamite Color ,270.0,26.67,False
 Comic Remate Saga X-men The Age Of Apocalipse Tres Tomos ,1199.0,99.92,True
 Batman Dark Knight Master Race Dk3 Dc Deluxe Pasta Dura ,650.0,64.21,True
 Colección Looney Tunes Milenio Nueva Sin Abrir ,3000.0,250.0,True
 Super Mario Bros Donkey Kong Funda De Almohada De 40 X 50cm ,239.0,23.61,True
 Inuyasha Mini Cojin ,55.0,,False
 Daredevil Born Again Volver A Nacer Marvel Monster Edition ,600.0,59.28,True
 Comic Back To The Future Saga 01 Al 11 Nuevos Sellados ,549.0,45.75,True
